StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,Pol_7,W2_Knowledge,Gender,Race,W1_Feeling_1,W1_Actions_1_1,W1_Actions_1_2,W1_Actions_1_3,W1_Actions_1_4,W1_Actions_1_5,W1_Actions_1_6,W1_Actions_1_7,W1_Actions_1_8,W1_Actions_2_1,W1_Actions_2_2,W1_Actions_2_3,W1_Actions_2_4,W1_Actions_2_5,W1_Actions_2_6,W1_Actions_2_7,W2_Feeling_1,W2_Trust_1,W2_Quality_1,W2_Impact,W2_Petition,W2_Meeting,Educ,Birthyear,Home_Region,Marital_Status,Income,Employment_Status,Q96,Industry,Work_Region,Automation_Prob,Automation_Prob,Attention_Sincere,Attention_Honest,mTurk,Block_ID,Wing_Order,Vignette
6/14/2019,6/14/2019,0,100,70,1,6/14/2019,R_11dq3s9btLX57LD,anonymous,EN,1,5,2,2,1,2, ,1, ,1, , , , , ,1, , , , , ,5,3,-2,4,4,4,4,1993,2,5,5,1,3,5,2,0.66,0.66,1,5,5964572,W Con Female,W1,W2_Courts_Control
6/14/2019,6/14/2019,0,100,105,1,6/14/2019,R_DRWZdBOugPUKqGt,anonymous,EN,1,3,2,1,1,1, , , ,1, , , , , ,1, , , , , ,5,1,4,3,5,5,5,1978,3,5,5,1,1,5,3,0.66,0.66,1,5,1281132,W Lib Male,W1,W2_Courts_Bias
6/14/2019,6/14/2019,0,100,88,1,6/14/2019,R_3QDZN6yzF4XS0OB,anonymous,EN,1,1,4,2,1,4, , ,1, , , , , , , , , ,1, , ,-2,4,5,6,3,5,5,1993,2,1,9,1,1,13,2,0.2325,0.2325,4,4,8401932,W Lib Female,W2,W2_Courts_Agency
6/14/2019,6/14/2019,0,100,109,1,6/14/2019,R_2amC5ihDs4sYNf1,anonymous,EN,1,2,1,1,1,3, ,1, ,1, ,1, , , , ,1, ,1, , ,-2,2,3,5,5,3,5,1983,2,5,2,1,1,14,2,0.2318,0.2318,1,5,6494130,W Lib Male,W2,W2_Health_Bias
6/14/2019,6/14/2019,0,100,99,1,6/14/2019,R_1MVZ1ARfAHXHzz3,anonymous,EN,1,6,3,1,2,6, , ,1,1, ,1,1, , , , , ,1,1, ,0,5,-2,3,4,5,4,1996,3,5,9,1,1,14,3,0.2318,0.2318,1,5,9977640,AA Con Male,W1,W2_Courts_Control
6/14/2019,6/14/2019,0,100,105,1,6/14/2019,R_2wdi3CJHexZjtCb,anonymous,EN,1,4,3,2,1,-6, , , , , , , ,1, , , , , , ,1,4,0,8,5,2,4,3,1986,2,1,3,1,1,15,2,0.7837,0.7837,1,5,9025694,W Ind Female,W2,W2_Courts_Agency
6/14/2019,6/14/2019,0,100,96,1,6/14/2019,R_DzMylqd6exnA1I5,anonymous,EN,1,4,3,1,1,3, ,1, , , , , , , ,1, , , , , ,4,-2,2,6,2,2,5,1988,1,1,8,3,1,4,1,0.7515,0.7515,2,3,2194005,W Ind Male,W1,W2_Health_Bias
6/14/2019,6/14/2019,0,100,102,1,6/14/2019,R_3PYvYu1Or1aptzQ,anonymous,EN,1,1,1,2,2,-1, , , , , , , ,1, , , , , , ,1,-10,-10,-10,1,7,3,6,1994,2,5,4,2,1,13,2,0.2325,0.2325,1,5,3302675,AA Lib Female,W1,W2_Health_Transparency
6/14/2019,6/14/2019,0,100,61,1,6/14/2019,R_1Lti7Y3OmEhVew3,anonymous,EN,1,5,3,1,1,3, , , ,1,1, , , , ,1, ,1, , , ,3,6,1,3,3,3,4,1991,2,5,5,1,1,5,2,0.66,0.66,1,5,7003583,W Con Male,W1,W2_Courts_Agency
6/14/2019,6/14/2019,0,100,98,1,6/14/2019,R_8w87np0NecETT0Z,anonymous,EN,1,2,3,1,1,5,1, , , , , , , ,1, , , , , , ,4,6,3,5,2,2,3,1993,2,1,3,1,1,13,2,0.2325,0.2325,1,5,5752997,W Lib Male,W1,W2_Courts_Control
